id,created_at,text
1071001119697108992,2018-12-07 11:18:59,"b'Robert Mueller and Leakin\xe2\x80\x99 Lyin\xe2\x80\x99 James Comey are Best Friends, just one of many Mueller Conflicts of Interest. And\xe2\x80\xa6 https://t.co/Rp0tVvuIk9'"
1070879369432850433,2018-12-07 03:15:12,"b'Arizona, together with our Military and Border Patrol, is bracing for a massive surge at a NON-WALLED area. WE WILL\xe2\x80\xa6 https://t.co/maTBFKcsqT'"
1070877666654519297,2018-12-07 03:08:26,b'FAKE NEWS - THE ENEMY OF THE PEOPLE!'
1070877381861277696,2018-12-07 03:07:18,b'Trish_Regan:  \xe2\x80\x9cDid the FBI follow protocol to obtain the FISA warrant? I don\xe2\x80\x99t think so. The Dossier was opposition\xe2\x80\xa6 https://t.co/5ENitXe9BG'
1070875222205759488,2018-12-07 02:58:43,"b'Jerome Corsi: \xe2\x80\x9dThis is not justice, this is not America. This is a political prosecution. The Special Prosecutor (C\xe2\x80\xa6 https://t.co/Fx0Nd8Bm0I'"
1070844413910368256,2018-12-07 00:56:18,b'Statement from China: \xe2\x80\x9cThe teams of both sides are now having smooth communications and good cooperation with each\xe2\x80\xa6 https://t.co/M0U3AufEoc'
1070837085538525185,2018-12-07 00:27:11,"b'Does the Fake News Media ever mention the fact that Republicans, with the very important help of my campaign Rallie\xe2\x80\xa6 https://t.co/wb45wQ1mlt'"
1070726434648440833,2018-12-06 17:07:29,b'My thoughts and prayers are with the @USMC crew members who were involved in a mid-air collision off the coast of J\xe2\x80\xa6 https://t.co/aStma9Wepb'
1070698825571012613,2018-12-06 15:17:47,"b'Without the phony Russia Witch Hunt, and with all that we have accomplished in the last almost two years (Tax &amp; Reg\xe2\x80\xa6 https://t.co/xiYu6TtgIO'"
1070521302652469248,2018-12-06 03:32:22,"b'Working hard, thank you! https://t.co/3SoWTkZjP6'"
1070504263606890496,2018-12-06 02:24:40,"b'Doug Wead, a truly great presidential historian, had a wonderful take on a very beautiful moment in history, the fu\xe2\x80\xa6 https://t.co/iohrxB9Gn6'"
1070328136150200320,2018-12-05 14:44:48,"b'Hopefully OPEC will be keeping oil flows as is, not restricted. The World does not want to see, or need, higher oil prices!'"
1070315986287583232,2018-12-05 13:56:31,"b'Looking forward to being with the Bush family. This is not a funeral, this is a day of celebration for a great man\xe2\x80\xa6 https://t.co/UXuWeI1wX1'"
